date,close,volume,open,high,low
11/19/2025,403.99,72047700,406.18,411.78,398.50
11/18/2025,401.25,80688640,405.38,408.90,393.71
11/17/2025,408.92,102214300,398.74,423.96,398.74
11/14/2025,404.35,105506700,386.30,412.19,382.78
11/13/2025,401.99,118948000,423.13,424.50,396.34
11/12/2025,430.60,58513520,442.15,442.329,426.56
11/11/2025,439.62,60533240,439.40,442.49,432.36
11/10/2025,445.23,76515910,439.60,449.6715,433.36
11/07/2025,429.52,103471500,437.92,439.36,421.88
11/06/2025,445.91,109622900,461.96,467.45,435.09
11/05/2025,462.07,85573020,452.05,466.3299,440.71
11/04/2025,444.26,87756640,454.46,460.22,443.60
11/03/2025,468.37,84595240,455.99,474.07,453.80
10/31/2025,456.56,83135790,446.75,458.00,443.6855
10/30/2025,440.10,72447940,451.05,455.0607,439.61
10/29/2025,461.51,67983540,462.50,465.70,452.65
10/28/2025,460.55,80185670,454.775,467.00,451.60
10/27/2025,452.42,105867500,439.98,460.16,438.69
10/24/2025,433.72,94727770,446.83,451.68,430.17
10/23/2025,448.98,126709800,420.00,449.3999,413.90
10/22/2025,438.97,84023460,443.45,445.539,429.00
10/21/2025,442.60,54412170,445.755,449.30,442.05
10/20/2025,447.43,63718970,443.865,449.80,440.61
10/17/2025,439.31,89331580,425.50,441.4558,423.60
10/16/2025,428.75,77189890,434.73,439.35,421.3101
10/15/2025,435.15,71558190,434.90,440.51,426.3301
10/14/2025,429.24,72669440,426.79,434.20,417.86
10/13/2025,435.90,79552790,423.53,436.89,419.70
10/10/2025,413.49,112107900,436.54,443.13,411.45
10/09/2025,435.54,69339930,431.81,436.35,426.18
10/08/2025,438.69,71192130,437.57,441.33,425.23
10/07/2025,433.09,102296100,447.82,452.68,432.4501
10/06/2025,453.25,85324880,440.75,453.55,436.69
10/03/2025,429.83,133188200,443.285,446.77,416.575
10/02/2025,436.00,137009000,470.54,470.75,435.57
10/01/2025,459.46,98122290,443.80,462.29,440.75
09/30/2025,444.72,74357960,441.52,445.00,433.12
09/29/2025,443.21,79491510,444.35,450.98,439.50
09/26/2025,440.40,101628200,428.30,440.47,421.02
