date,close,volume,open,high,low
03/13/2024,3.36,35096160,3.445,3.525,3.325
03/12/2024,3.54,27482510,3.71,3.71,3.48
03/11/2024,3.66,36361400,4.015,4.10,3.61
03/08/2024,4.02,37744470,4.05,4.33,4.00
03/07/2024,3.90,32044540,4.02,4.16,3.81
03/06/2024,4.02,48461380,3.71,4.10,3.6303
03/05/2024,3.63,28307730,3.719,3.7975,3.60
03/04/2024,3.86,38826100,3.89,4.02,3.68
03/01/2024,3.89,77838650,3.19,3.89,3.16
02/29/2024,3.53,57494460,3.59,3.895,3.46
02/28/2024,3.43,37218130,3.47,3.63,3.37
02/27/2024,3.55,54093080,3.17,3.63,3.15
02/26/2024,3.04,33356160,2.92,3.08,2.83
02/23/2024,3.01,54728230,3.25,3.27,2.98
02/22/2024,3.13,46865370,3.53,3.53,3.11
02/21/2024,3.405,44055340,3.73,3.74,3.3412
02/20/2024,3.73,21864880,3.85,3.885,3.70
02/16/2024,3.96,31134640,3.845,4.01,3.75
02/15/2024,4.02,41025080,4.18,4.29,3.9406
02/14/2024,4.23,29274950,4.35,4.35,4.09
02/13/2024,4.17,37928610,4.28,4.32,4.08
02/12/2024,4.57,48054550,4.33,4.69,4.29
02/09/2024,4.33,40832590,4.25,4.43,4.165
02/08/2024,4.19,35842590,4.21,4.29,4.10
02/07/2024,4.22,36952010,4.55,4.59,4.18
02/06/2024,4.49,50778720,4.17,4.54,4.13
02/05/2024,4.345,40608230,4.43,4.45,4.16
02/02/2024,4.66,60637930,4.69,4.83,4.50
02/01/2024,4.70,111112200,4.98,5.14,4.42
01/31/2024,4.45,130249400,4.10,4.84,3.97
01/30/2024,3.73,34548520,3.71,3.86,3.65
01/29/2024,3.79,41212350,3.42,3.815,3.33
01/26/2024,3.40,30746240,3.44,3.60,3.35
01/25/2024,3.40,52983010,3.50,3.525,3.22
01/24/2024,3.475,100470600,3.75,4.03,3.40
01/23/2024,3.72,158726500,3.36,3.82,3.12
01/22/2024,2.84,65531520,2.85,3.07,2.70
01/19/2024,2.68,56283100,2.50,2.68,2.39
01/18/2024,2.42,98181710,2.30,2.545,2.2625
01/17/2024,2.735,68910050,2.92,2.99,2.63
01/16/2024,3.04,43668520,3.37,3.3788,3.00
01/12/2024,3.44,32102030,3.75,3.7982,3.43
01/11/2024,3.72,45007350,3.90,3.94,3.63
01/10/2024,4.04,32855480,4.18,4.20,3.90
01/09/2024,4.20,20549060,4.25,4.305,4.18
01/08/2024,4.35,25230710,4.29,4.42,4.17
01/05/2024,4.25,28565900,4.26,4.56,4.17
01/04/2024,4.29,26985140,4.38,4.47,4.265
01/03/2024,4.38,46730820,4.50,4.53,4.16
01/02/2024,4.59,30653400,4.44,4.8471,4.39
12/29/2023,4.50,19821840,4.70,4.72,4.50
12/28/2023,4.71,22007060,4.68,4.83,4.61
12/27/2023,4.71,24131400,4.83,4.85,4.69
12/26/2023,4.78,27308300,4.58,4.85,4.54
12/22/2023,4.52,34895430,4.30,4.5987,4.23
12/21/2023,4.41,25779160,4.30,4.48,4.30
12/20/2023,4.16,34216350,4.38,4.6298,4.14
